Station;month number ;Chl a;Eh;Temp.;pH;ChZT-Mn;ChZT-Cr;BZT5;O2rozp;WS;NO3;NO2;NH4;TN;SRP;TP;TH;Ca;Mg;Cl;SO4;ZasadowoÊç;KwasowoÊç;Feog;Mnog;Pb;Zn;Cd;Cu
r4;26;59;405;15;7,64;10,5;154;2,2;6,6;64,8;0,93;0,065;1,44;3,4;0,53;1,14;371;131;11;39;48;290;5;0,27;0,07;0,0011;0,2174;0,0021;0,0208
r4;27;25;412;8;7,34;10,2;132;5,1;5,1;42,8;0,83;0,056;1,32;3,3;0,42;0,62;253;80;13;37;30;135;2,5;0,72;0,3;0,0018;0,1297;0,0021;0,0076
r4;28;35;384;7,5;7,56;9,6;147,7;5,8;6,9;57,3;0,79;0,18;1,21;2,89;0,64;1,85;313;104;13;49;29;165;3,75;0,57;0,01;0,0017;0,0614;0,0021;0,0217
r4;29;21;387;1,5;7,65;12;162,3;8,4;9,6;68,3;0,68;0,039;1,15;3,05;0,5;1,65;176;50;13;52;36;225;3,75;1,47;0,01;0,0021;0,1083;0,0021;0,0095
r4;30;68;379;4;7,77;14,2;150;10;18;137;1,63;0,15;0,71;2,7;0,27;0,83;187;59;9;80;58;130;2,5;0,34;0,07;0,001;0,0494;0,0027;0,0124
r4;31;35;407;3,9;7,11;11,1;256;9;10;75,9;1,01;0,18;1,95;4,03;0,57;1,68;437;112;38;86;70;150;7,5;0,09;0,01;0,0039;0,0538;0,0022;0,0109
r4;32;69;396;8;7,65;11,3;286;10;12;101,4;1,03;0,06;1,5;3,51;0,43;1,32;400;136;12;38;80;250;3,75;0,07;0,03;0,0018;0,1297;0,0021;0,0076
r4;33;63;418;12,6;7,11;11,5;573;6;8;74,6;1,97;0,4;1,42;4,21;0,08;0,35;124;38;7;39;46;85;7,5;0,21;0,06;0,0017;0,0614;0,0021;0,0217
r4;34;77;420;16,2;7,56;11,7;273;5;7;74,2;1,2;0,04;0,8;3,6;0,16;0,5;235;76;10;29;50;250;2,5;0,62;0,12;0,0098;0,0318;0,0027;0,0084
r4;35;70;412;20,1;7,77;11,4;280;6;6;65,4;1,4;0,051;1;3,4;0,68;1,43;233;75;11;28;54;250;2,5;0,41;0,08;0,0012;0,0359;0,0023;0,0093
r4;36;84;338;23,6;8,95;12,8;297,7;6,7;7;79;0,66;0,051;1,32;2,94;0,89;2,01;278;86;15;36;59;375;1,5;0,82;0,55;0,0081;0,0356;0,0028;0,0136
r4;37;97;292;28,8;9,74;12;220,7;6,4;6,7;76;0,67;0,074;1,77;3,25;0,55;1,48;273;93;9;39;76;300;1,5;0,98;0,1;0,0105;0,0125;0,003;0,0144
